,0,1,2,3,4,5
0,SH002088,11,ASP UNIFRAX INVESTCO LP,92.40%,10,"ASP UNIFRAX HOLDINGS, INC."
0,SH002088,12,ASP Manager Corp.,100%,11,ASP UNIFRAX INVESTCO LP
0,SH002088,13,American Securities LLC,100.00%,12,ASP Manager Corp.
0,SH002088,14,Michael G. Fisch 2006 Revocable Trust,50.00%,13,American Securities LLC
0,SH002088,14,ASCP LLC,25.00%,13,American Securities LLC
0,SH002088,15,Michael G. Fisch 2006 Revocable Trust,100.00%,14,ASCP LLC
0,SH002088,15,Michael G. Fisch,100%,14,Michael G. Fisch 2006 Revocable Trust
0,SH002088,2,奇耐联合纤维亚太控股有限公司,29.00%,1,山东鲁阳节能材料股份有限公司
0,SH002088,3,UNIFRAX LUXEMBOURG II SARL,100.00%,2,奇耐联合纤维亚太控股有限公司
0,SH002088,4,UNIFRAX LUXEMBOURG I SARL,100.00%,3,UNIFRAX LUXEMBOURG II SARL
0,SH002088,5,UNIFRAX I LLC,100.00%,4,UNIFRAX LUXEMBOURG I SARL
0,SH002088,6,UNIFRAX HOLDING CO.,100.00%,5,UNIFRAX I LLC
0,SH002088,7,UFX HOLDING II CORPORATION,100.00%,6,UNIFRAX HOLDING CO.
0,SH002088,8,UFX HOLDING I CORPORATION,100.00%,7,UFX HOLDING II CORPORATION
0,SH002088,9,"ASP UNIFRAX INTERMEDIATE HOLDINGS, INC.",100.00%,8,UFX HOLDING I CORPORATION
0,SH002088,10,"ASP UNIFRAX HOLDINGS, INC.",100.00%,9,"ASP UNIFRAX INTERMEDIATE HOLDINGS, INC."
0,SH603887,2,卢静芳,8.22%,1,上海城地建设股份有限公司
0,SH603887,2,谢晓东,32.87%,1,上海城地建设股份有限公司
0,SH600005,2,武汉钢铁(集团)公司,57.66%,1,武汉钢铁股份有限公司
0,SH600005,3,国务院国有资产监督管理委员会,100.00%,2,武汉钢铁(集团)公司
0,SH601128,2,交通银行股份有限公司,9.00%,1,江苏常熟农村商业银行股份有限公司
0,SH601216,2,杜江涛,31.95%,1,内蒙古君正能源化工集团股份有限公司
0,SH601216,2,乌海市君正科技产业有限责任公司,21.41%,1,内蒙古君正能源化工集团股份有限公司
0,SH601216,3,杜江涛,25.00%,2,乌海市君正科技产业有限责任公司
0,SH600410,2,王维航,10.23%,1,北京华胜天成科技股份有限公司
0,SH600908,2,国联信托股份有限公司,9.00%,1,无锡农村商业银行股份有限公司
0,SH603601,2,郭茂,44.75%,1,重庆再升科技股份有限公司
0,SZ000518,2,昆山国创投资集团有限公司,0.70%,1,江苏四环生物股份有限公司
0,SZ000518,2,昆山市创业投资有限公司,7.06%,1,江苏四环生物股份有限公司
0,SH601137,2,博威集团有限公司,33.91%,1,宁波博威合金材料股份有限公司
0,SH601137,2,冠峰亚太有限公司,12.75%,1,宁波博威合金材料股份有限公司
0,SH601137,2,宁波梅山保税港区鼎顺物流有限公司,0.88%,1,宁波博威合金材料股份有限公司
0,SH601137,3,谢识才,81.02%,2,博威集团有限公司
0,SH601137,3,博威集团(香港)有限公司,100.00%,2,冠峰亚太有限公司
0,SH601137,4,博威集团有限公司,100.00%,3,博威集团(香港)有限公司
0,SZ300210,2,郭松森,43.94%,1,鞍山森远路桥股份有限公司
0,SH600571,2,郭华强,7.82%,1,信雅达系统工程股份有限公司
0,SH600571,2,杭州信雅达电子有限公司,19.58%,1,信雅达系统工程股份有限公司
0,SH600571,3,郭华强,75.32%,2,杭州信雅达电子有限公司
0,SH600976,2,华方医药科技有限公司,22.07%,1,健民药业集团股份有限公司
0,SH600976,2,华立集团股份有限公司,3.02%,1,健民药业集团股份有限公司
0,SH600976,3,华立集团股份有限公司,100.00%,2,华方医药科技有限公司
0,SH600976,4,浙江立成实业有限公司,45.92%,3,华立集团股份有限公司
0,SH600976,4,孙水坤,6.59%,3,华立集团股份有限公司
0,SH600976,4,汪力成,8.54%,3,华立集团股份有限公司
0,SH600976,5,汪力成,100.00%,4,浙江立成实业有限公司
0,SZ002161,2,陈光珠,4.71%,1,深圳市远望谷信息技术股份有限公司
0,SZ002161,2,徐玉锁,24.40%,1,深圳市远望谷信息技术股份有限公司
0,SH600620,2,上海成元投资管理有限公司,4.09%,1,上海市天宸股份有限公司
0,SH600620,2,上海仲盛虹桥企业管理有限公司,25.08%,1,上海市天宸股份有限公司
0,SH600620,3,上海锦元商业发展有限公司,100.00%,2,上海成元投资管理有限公司
0,SH600620,3,北京新盛房地产开发有限公司,100.00%,2,上海仲盛虹桥企业管理有限公司
0,SH600620,4,上海成元投资管理有限公司,40.00%,3,北京新盛房地产开发有限公司
0,SH600620,4,仲盛发展有限公司,60.00%,3,北京新盛房地产开发有限公司
0,SH600620,4,成艳娴,60.00%,3,上海锦元商业发展有限公司
0,SH600620,4,朱卫华,40.00%,3,上海锦元商业发展有限公司
0,SH600620,5,叶立培,50.00%,4,仲盛发展有限公司
0,SH600620,5,叶茂菁,50.00%,4,仲盛发展有限公司
0,SH603999,2,读者出版集团有限公司,57.84%,1,读者出版传媒股份有限公司
0,SH603999,3,甘肃省国有资产管理监督委员会,100.00%,2,读者出版集团有限公司
0,SH603999,4,甘肃省人民政府,100.00%,3,甘肃省国有资产管理监督委员会
0,SZ300451,2,杭州阜康投资有限公司,12.09%,1,创业软件股份有限公司
0,SZ300451,2,葛航,20.66%,1,创业软件股份有限公司
0,SZ300451,3,浙江中宇科技风险投资有限公司,58.61%,2,杭州阜康投资有限公司
0,SZ300451,4,葛航,90.00%,3,浙江中宇科技风险投资有限公司
0,SZ002722,2,安富国际(香港)投资有限公司,14.31%,1,金轮蓝海股份有限公司
0,SZ002722,2,蓝海投资江苏有限公司,36.05%,1,金轮蓝海股份有限公司
